"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT07","WT08","WT09","WT10","WT11"
"USW00023064","37.92722","-100.72472","878.4","2000-06-11","0.28",,"74","87","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-12","0.13",,"74","88","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-13","0.00",,"76","90","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-14","0.03",,"68","83","52",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-15","0.00",,"75","95","55",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-16","0.00",,"68","77","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-17","0.00",,"63","69","56",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-18","0.00",,"62","74","49",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-19","0.00",,"78","94","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-20","0.00",,"75","89","60",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-21","0.01",,"71","82","60",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-22","0.00",,"75","90","60",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-23","0.00",,"81","96","66",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-24","0.00",,"76","93","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-25","0.00",,"79","94","63",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-26","0.00",,"69","78","60",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-27","0.03",,"64","69","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-28","0.00",,"67","75","58",,,,,,,,,,
