"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT16","WT19"
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-02","0.09",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-08","0.06",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-09","0.16",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-10","0.03",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-11","0.30",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-12","0.49",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-13","0.08",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-14","0.17",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-15","0.30",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-18","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-21","2.06",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-06-25","0.47",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-02","0.02",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-04","0.48",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-07","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-10","0.01",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-12","0.63",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-13","0.12",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-14","1.51",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-15","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-17","0.13",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-18","0.54",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-19","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-23","0.63",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-25","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-28","0.27",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-29","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-07-30","0.17",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-01","0.60",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-06","0.03",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-11","0.07",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-15","0.05",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-16","0.23",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-17","0.76",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-19","0.07",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-20","0.10",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-08-26","1.18",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-02","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-04","0.27",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-08","0.10",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-09","0.05",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-12","0.61",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-23","0.47",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-24","0.07",,,,,,,,,,,,,,,,
