"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USC00140810","37.2757","-95.4728","276.5","2000-04-26","0.00","0.0",,"75","47",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-27","0.00","0.0",,"70","51",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-28","0.00","0.0",,"74","47",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-29","0.00","0.0",,"74","49",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-30","0.00","0.0",,"76","56",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-01","1.14","0.0",,"63","56",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-02","0.00","0.0",,"72","55",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-03","0.00","0.0",,"71","55",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-04","0.00","0.0",,"74","55",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-05","0.00","0.0",,"77","57",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-06","1.18","0.0",,"74","60",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-07","0.21","0.0",,"72","60",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-08","0.00","0.0",,"80","71",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-09","2.78",,,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-10","0.07",,,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-11","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-12","0.00","0.0",,"83","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-13","0.00","0.0",,"76","49",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-14","0.00","0.0",,"67","44",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-15","0.00","0.0",,"71","54",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-16","0.22","0.0",,"63","53",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-17","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-18","0.00","0.0",,"77","64",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-19","0.00","0.0",,"78","55",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-20","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-21","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-22","0.00","0.0",,"81","58",,,,,,,,,,
